x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
3.548477e-04  1.835295e-02  2.925961e+00  5.370000e-02  1.212756e-04  1.500000e+03  2.794366e-01  8.978115e-02  3.797915e-04  3.450658e-04  3.449038e-05  2.154807e-05  9.826831e-07  2.683162e-09  6.300004e-01  1.000000e+00  
3.602910e-04  1.835295e-02  2.925961e+00  5.370000e-02  1.231359e-04  1.500000e+03  2.793847e-01  8.976107e-02  4.147972e-04  3.767887e-04  3.766275e-05  2.352355e-05  9.891197e-07  2.732787e-09  6.300004e-01  1.000000e+00  
3.657342e-04  1.835295e-02  2.925960e+00  5.370000e-02  1.249962e-04  1.500000e+03  2.793282e-01  8.973916e-02  4.530020e-04  4.114088e-04  4.112481e-05  2.567935e-05  9.943763e-07  2.781380e-09  6.300005e-01  1.000000e+00  
3.746529e-04  1.835295e-02  2.925960e+00  5.370000e-02  1.280443e-04  1.500000e+03  2.792241e-01  8.969886e-02  5.232870e-04  4.750954e-04  4.749340e-05  2.964483e-05  1.000319e-06  2.858592e-09  6.300005e-01  1.000000e+00  
3.835716e-04  1.835295e-02  2.925960e+00  5.370000e-02  1.310925e-04  1.500000e+03  2.791040e-01  8.965236e-02  6.043806e-04  5.485716e-04  5.484068e-05  3.421934e-05  1.002847e-06  2.932668e-09  6.300006e-01  1.000000e+00  
3.924903e-04  1.835296e-02  2.925959e+00  5.370000e-02  1.341406e-04  1.500000e+03  2.789655e-01  8.959873e-02  6.979254e-04  6.333254e-04  6.331534e-05  3.949527e-05  1.001969e-06  3.003632e-09  6.300007e-01  1.000000e+00  
4.014090e-04  1.835296e-02  2.925959e+00  5.370000e-02  1.371887e-04  1.500000e+03  2.788057e-01  8.953688e-02  8.058083e-04  7.310666e-04  7.308821e-05  4.557873e-05  9.978518e-07  3.071830e-09  6.300008e-01  1.000000e+00  
4.103277e-04  1.835296e-02  2.925958e+00  5.370000e-02  1.402369e-04  1.500000e+03  2.786216e-01  8.946557e-02  9.301976e-04  8.437598e-04  8.435550e-05  5.259164e-05  9.908482e-07  3.138061e-09  6.300010e-01  1.000000e+00  
4.192464e-04  1.835297e-02  2.925957e+00  5.370000e-02  1.432850e-04  1.500000e+03  2.784093e-01  8.938337e-02  1.073581e-03  9.736589e-04  9.734230e-05  6.067382e-05  9.814896e-07  3.203721e-09  6.300011e-01  1.000000e+00  
4.281651e-04  1.835297e-02  2.925956e+00  5.370000e-02  1.463331e-04  1.500000e+03  2.781646e-01  8.928866e-02  1.238807e-03  1.123346e-03  1.123064e-04  6.998539e-05  9.704625e-07  3.270969e-09  6.300013e-01  1.000000e+00  
4.370838e-04  1.835298e-02  2.925956e+00  5.370000e-02  1.493813e-04  1.500000e+03  2.778828e-01  8.917956e-02  1.429135e-03  1.295773e-03  1.295424e-04  8.070946e-05  9.585471e-07  3.342929e-09  6.300015e-01  1.000000e+00  
4.460026e-04  1.835299e-02  2.925954e+00  5.370000e-02  1.524294e-04  1.500000e+03  2.775583e-01  8.905393e-02  1.648289e-03  1.494316e-03  1.493869e-04  9.305518e-05  9.465419e-07  3.423916e-09  6.300017e-01  1.000000e+00  
4.549213e-04  1.835299e-02  2.925953e+00  5.370000e-02  1.554775e-04  1.500000e+03  2.771849e-01  8.890935e-02  1.900516e-03  1.722823e-03  1.722238e-04  1.072610e-04  9.351651e-07  3.519711e-09  6.300020e-01  1.000000e+00  
4.638400e-04  1.835300e-02  2.925952e+00  5.370000e-02  1.585257e-04  1.500000e+03  2.767553e-01  8.874303e-02  2.190654e-03  1.985675e-03  1.984896e-04  1.235983e-04  9.249859e-07  3.637895e-09  6.300023e-01  1.000000e+00  
4.727587e-04  1.835301e-02  2.925950e+00  5.370000e-02  1.615738e-04  1.500000e+03  2.762614e-01  8.855184e-02  2.524195e-03  2.287850e-03  2.286802e-04  1.423749e-04  9.163391e-07  3.788283e-09  6.300027e-01  1.000000e+00  
